id,price,sale_price,title,link,image_link,brand,description,condition,product_type,availability
245026063,1999.0 RUB,616.0 RUB,"Мыло-пенка SYNERGETIC «Свежесть алоэ», 3,5 л + Мыло 0,5 л в подарок!",https://www.wildberries.ru/catalog/245026063/detail.aspx/?targetUrl=EX,https://basket-16.wbbasket.ru/vol2450/part245026/245026063/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,in stock
251815746,1500.0 RUB,504.0 RUB,Пенка для купания SYNERGETIC + мыло-пенка для рук и тела SYNERGETIC,https://www.wildberries.ru/catalog/251815746/detail.aspx/?targetUrl=EX,https://basket-16.wbbasket.ru/vol2518/part251815/251815746/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,in stock
14793792,2015.0 RUB,596.0 RUB,"Кондиционер для белья SYNERGETIC «Лавандовое поле» 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/14793792/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14793/14793792/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
122918907,2015.0 RUB,514.0 RUB,"Кондиционер для белья SYNERGETIC «Бескрайний океан» 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/122918907/detail.aspx/?targetUrl=EX,https://basket-09.wbbasket.ru/vol1229/part122918/122918907/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
152336966,4099.0 RUB,1393.0 RUB,Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л + Кондиционер для белья 5л «Бескрайний океан»,https://www.wildberries.ru/catalog/152336966/detail.aspx/?targetUrl=EX,https://basket-10.wbbasket.ru/vol1523/part152336/152336966/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
225010448,1799.0 RUB,587.0 RUB,"Зубная паста с дозатором SYNERGETIC отбеливающая ULTRA WHITE, 2 шт. по 240 гр.",https://www.wildberries.ru/catalog/225010448/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2250/part225010/225010448/images/big/1.webp,SYNERGETIC,"Зубная паста SYNERGETIC отбеливающая ULTRA WHITE - безопасная паста без фтора, которая эффективно очищает зубы и борется со скапливающимся на зубах налетом.",new,Зубные пасты пампы,in stock
225223463,899.0 RUB,353.0 RUB,"Зубная паста с дозатором SYNERGETIC для чувствительных зубов SENSITIVE, 240 г",https://www.wildberries.ru/catalog/225223463/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2252/part225223/225223463/images/big/1.webp,SYNERGETIC,"Зубная паста во флаконе SYNERGETIC для чувствительных зубов SENSITIVE бережно очищает и укрепляет зубную эмаль, препятствует образованию налета и снижает чувствительность зубов. Гидроксиапатит реминерализует, восстанавливает и укрепляет зубную эмаль.",new,Зубные пасты пампы,in stock
234401911,799.0 RUB,322.0 RUB,Мыло-пенка для рук и тела SYNERGETIC «Ягодный мусс»,https://www.wildberries.ru/catalog/234401911/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2344/part234401/234401911/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,out of stock
234582500,799.0 RUB,273.0 RUB,Пенка для мытья детской посуды SYNERGETIC,https://www.wildberries.ru/catalog/234582500/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2345/part234582/234582500/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,in stock
152332626,4099.0 RUB,1393.0 RUB,Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л + Кондиционер «Магическая орхидея» 5л,https://www.wildberries.ru/catalog/152332626/detail.aspx/?targetUrl=EX,https://basket-10.wbbasket.ru/vol1523/part152332/152332626/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
234582497,799.0 RUB,322.0 RUB,Пенка для мытья посуды SYNERGETIC «Лайм и краcный апельсин»,https://www.wildberries.ru/catalog/234582497/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2345/part234582/234582497/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,out of stock
27530247,3300.0 RUB,951.0 RUB,"Гель для стирки SYNERGETIC 2в1 c пятновыводителем 5л, 165 стирок",https://www.wildberries.ru/catalog/27530247/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol275/part27530/27530247/images/big/1.webp,SYNERGETIC,Гипоаллергенный гель для стирки эффективно справляется с пятнами и другими загрязнениями за счёт формулы с пятновыводителем в составе. Подходят даже людям с чувствительной кожей. Канистры хватит надолго даже большой семье.,new,Стирка,in stock
245009155,1999.0 RUB,671.0 RUB,"Пенка для мытья посуды SYNERGETIC «Ромашка и липовый цвет» 3,5л + Пенка 0,5л в подарок!",https://www.wildberries.ru/catalog/245009155/detail.aspx/?targetUrl=EX,https://basket-16.wbbasket.ru/vol2450/part245009/245009155/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,in stock
